name,level,subtitles,type,source,file,
Forrest Gump,"A2/A2+, B1",Yes,movie,unknow,Forrest_Gump(1994).srt,
Finding Nemo,A2/A2+,Yes,movie,unknow,Finding_Nemo(2003).srt,
Cast away,A2/A2+,Yes,movie,unknow,Cast_away(2000).srt,
The invisible man (2020),A2/A2+,Yes,movie,unknow,The_invisible_man(2020).srt,
Back to the future,A2/A2+,Yes,movie,unknow,Back_to_the_future(1985).srt,
Twilight,A2/A2+,Yes,movie,unknow,Twilight(2008).srt,
Toy story,A2/A2+,Yes,movie,unknow,Toy_story(1995).srt,
The cabin in the woods,A2/A2+,Yes,movie,unknow,The_cabin_in_the_woods(2012).srt,
Up,A2/A2+,Yes,movie,unknow,Up(2009).srt,
Dredd,A2/A2+,Yes,movie,unknow,Dredd(2012).srt,
Ready or not,A2/A2+,Yes,movie,unknow,Ready_or_not(2019).srt,
The jungle book,A2/A2+,Yes,movie,unknow,The_jungle_book(2016).srt,
The terminal,"A2/A2+, B1",Yes,movie,unknow,The_terminal(2004).srt,
The man called Flinstone,A2/A2+,Yes,movie,unknow,The_man_called_Flintstone(1966).srt,
Batman begins,A2/A2+,Yes,movie,unknow,Batman_begins(2005).srt,
Kubo and the two strings,A2/A2+,Yes,movie,unknow,Kubo_and_the_two_strings(2016).srt,
Soul,B1,Yes,movie,unknow,Soul(2020).srt,
The break-up,A2/A2+,Yes,movie,unknow,The_break-up(2006).srt,
The holiday,B1,Yes,movie,unknow,The_holiday(2006).srt,
Sleepless in Seattle,A2/A2+,Yes,movie,unknow,Sleepless_in_Seattle(1993).srt,
My big fat Greek wedding,A2/A2+,Yes,movie,unknow,My_big_fat_Greek_wedding(2002).srt,
Groundhog day,B1,Yes,movie,unknow,Groundhog_day(1993).srt,
The lion king,A2/A2+,Yes,movie,unknow,Lion(2016).srt,
Home alone,B1,Yes,movie,unknow,Home_alone(1990).srt,
Catch me if you can,"B1, B2",Yes,movie,unknow,Catch_me_if_you_can(2002).srt,
Mamma Mia,B1,Yes,movie,unknow,Mamma_Mia(2008).srt,
Harry Potter (1),B1,Yes,movie,unknow,Harry_Potter_and_the_philosophers_stone(2001).srt,
Matilda,B1,Yes,movie,unknow,Matilda(1996).srt,
Her,"A2/A2+, B1",Yes,movie,unknow,Her(2013).srt,
Shrek,B1,Yes,movie,unknow,Shrek(2001).srt,
Pirates of the Caribbean (1),B1,Yes,movie,unknow,Pirates_of_the_Caribbean(2003).srt,
The terminator,B1,Yes,movie,unknow,The_terminator(1984).srt,
Love actually,B1,Yes,movie,unknow,Love_actually(2003).srt,
The lord of the rings,"B1, B2",Yes,movie,unknow,The_lord_of_the_rings(2001).srt,
The theory of everything,B2,Yes,movie,unknow,The_theory_of_everything(2014).srt,
We’re the Millers,B1,Yes,movie,unknow,We_are_the_Millers(2013).srt,
Meet the parents,B1,Yes,movie,unknow,Meet_the_parents(2000).srt,
Pulp Fiction,B2,Yes,movie,unknow,Pulp_fiction(1994).srt,
The graduate,"B1, B2",Yes,movie,unknow,The_graduate(1967).srt,
A star is born,B2,Yes,movie,unknow,A_star_is_born(2018).srt,
The social network,B2,Yes,movie,unknow,The_social_network(2010).srt,
The hangover,B2,Yes,movie,unknow,The_hangover(2009).srt,
Knives out,B2,Yes,movie,unknow,Knives_out(2019).srt,
Bridget Jones diary,"B1, B2",Yes,movie,unknow,Bridget_Jones_diary(2001).srt,
Die Hard,B1,Yes,movie,unknow,Die_hard(1988).srt,
The secret life of Walter Mitty,B1,Yes,movie,unknow,The_secret_life_of_Walter_Mitty(2013).srt,
Mrs. Doubtfire,B1,Yes,movie,unknow,Mrs_Doubtfire(1993).srt,
10 things I hate about you,B1,Yes,movie,unknow,10_things_I_hate_about_you(1999).srt,
Inside out,B1,Yes,movie,unknow,Inside_out(2015).srt,
The king’s speech,B2,Yes,movie,unknow,The_kings_speech(2010).srt,
Warm bodies,B1,Yes,movie,unknow,Warm_bodies(2013).srt,
Beauty and the beast (film),B2,Yes,movie,unknow,Beauty_and_the_beast(2017).srt,
