,Level,total_time,total_words,raito,uniq,a1,a2,b1,b2,c1,c2
0,2,4245.435999999999,11325.0,2.667570539280301,1208.0,2819.0,2055.0,1264.0,1716.0,1342.0,0.0
1,1,4962.58599999999,10821.0,2.1805163678775585,1554.0,2826.0,2106.0,1522.0,1821.0,1550.0,0.0
2,1,2015.1270000000059,4732.0,2.3482390936154327,805.0,1193.0,883.0,604.0,791.0,633.0,0.0
3,1,1757.6779999999972,5076.0,2.8879009693470636,650.0,1171.0,862.0,564.0,726.0,571.0,0.0
4,1,3248.606999999992,8966.0,2.7599521887381337,1387.0,2205.0,1610.0,1033.0,1374.0,1186.0,0.0
5,1,3939.3520000000303,9003.0,2.285401253810254,1079.0,2303.0,1661.0,1120.0,1426.0,1121.0,0.0
6,1,2949.2379999999944,7436.0,2.5213292382642614,1046.0,1844.0,1440.0,954.0,1239.0,969.0,0.0
7,1,2320.1650000000004,5628.0,2.4256895522516713,926.0,1245.0,1012.0,685.0,901.0,643.0,0.0
8,1,2280.2829999999976,5833.0,2.5580158252287135,839.0,1349.0,960.0,615.0,901.0,629.0,0.0
9,1,1934.674999999998,5058.0,2.614392598240017,868.0,1115.0,1068.0,815.0,1132.0,871.0,0.0
10,1,2470.411000000001,6781.0,2.7448873891834182,787.0,1581.0,1076.0,778.0,984.0,779.0,0.0
11,1,2705.1939999999913,6745.0,2.493351678289994,704.0,1501.0,1266.0,816.0,1188.0,868.0,0.0
12,2,4040.4880000000003,9154.0,2.265567921498591,1180.0,2188.0,1549.0,948.0,1340.0,1106.0,0.0
13,1,4337.941000000006,9314.0,2.1471015857523157,1174.0,2375.0,1827.0,1383.0,1812.0,1366.0,0.0
14,1,3421.007999999998,9136.0,2.6705579174325242,1353.0,1858.0,1604.0,1098.0,1465.0,1136.0,0.0
15,1,2284.047000000003,5548.0,2.4290218196035336,706.0,1232.0,893.0,593.0,811.0,551.0,0.0
16,2,3082.621999999981,9842.0,3.1927365729564183,1146.0,2364.0,1857.0,1222.0,1618.0,1296.0,0.0
17,1,4051.5480000000375,14169.0,3.4971818179125282,1337.0,3629.0,2493.0,1713.0,2287.0,1696.0,0.0
18,2,4251.109000000034,11550.0,2.71693809779987,1239.0,2817.0,1885.0,1290.0,1731.0,1293.0,0.0
19,1,4159.644999999988,10958.0,2.634359422498803,1277.0,2624.0,1664.0,1236.0,1565.0,1241.0,0.0
20,1,2718.7649999999935,6300.0,2.317228594600863,820.0,1624.0,1091.0,604.0,956.0,747.0,0.0
21,2,3062.0259999999976,7834.0,2.558436799687529,1030.0,1931.0,1408.0,884.0,1200.0,997.0,0.0
22,1,3396.930999999992,7419.0,2.1840302319947087,1036.0,1637.0,1256.0,804.0,1121.0,888.0,0.0
23,2,3472.410000000003,8167.0,2.351968805526995,1076.0,2009.0,1467.0,859.0,1266.0,968.0,0.0
24,3,4215.837999999998,12386.0,2.9379686790621475,1483.0,2980.0,2232.0,1417.0,1885.0,1651.0,0.0
25,2,4403.931000000008,9847.0,2.2359569212142474,990.0,2379.0,1678.0,981.0,1496.0,1044.0,0.0
