iter	Passed	Remaining
0	22	6790
1	43	6492
2	64	6375
3	84	6261
4	104	6140
5	124	6109
6	145	6106
7	166	6059
8	183	5941
9	202	5881
10	225	5929
11	256	6146
12	277	6121
13	297	6084
14	318	6044
15	338	6014
16	358	5970
17	379	5937
18	399	5907
19	421	5904
20	442	5874
21	465	5877
22	489	5893
23	517	5947
24	538	5927
25	567	5976
26	596	6034
27	628	6105
28	662	6195
29	691	6227
30	720	6252
31	750	6284
32	781	6320
33	814	6376
34	842	6378
35	868	6371
36	895	6365
37	924	6377
38	955	6394
39	983	6391
40	1009	6374
41	1035	6361
42	1059	6330
43	1083	6304
44	1110	6294
45	1138	6283
46	1163	6261
47	1190	6247
48	1221	6256
49	1251	6258
50	1285	6274
51	1315	6275
52	1343	6262
53	1393	6350
54	1429	6369
55	1476	6434
56	1503	6407
57	1547	6458
58	1574	6431
59	1605	6422
60	1633	6399
61	1655	6356
62	1683	6331
63	1709	6302
64	1736	6276
65	1762	6249
66	1787	6217
67	1811	6179
68	1835	6145
69	1856	6098
70	1877	6054
71	1901	6019
72	1923	5980
73	1947	5946
74	1971	5914
75	1995	5880
76	2019	5849
77	2043	5817
78	2069	5788
79	2094	5760
80	2123	5740
81	2147	5710
82	2172	5678
83	2195	5644
84	2216	5607
85	2237	5567
86	2256	5525
87	2276	5484
88	2296	5443
89	2318	5410
90	2337	5369
91	2358	5333
92	2379	5295
93	2403	5267
94	2426	5235
95	2446	5199
96	2466	5162
97	2487	5126
98	2508	5092
99	2528	5056
100	2547	5019
101	2566	4981
102	2587	4948
103	2608	4915
104	2629	4883
105	2650	4850
